"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Honduras","HND","Gasto de consumo final de los hogares, PPA ($ a precios internacionales actuales)","NE.CON.PRVT.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6709123714.75068","6877989320.39449","7381518157.84627","8168398425.71654","8571365879.82699","8721420694.69951","9284438058.92827","10197910625.0702","10552288085.6047","11311507698.8164","12488149369.1324","13319376983.682","13858383506.3649","14664414217.7852","15766815187.4918","17366109411.4187","19655449289.0489","21434568672.291","23062361347.8502","22487155141.3813","23574590139.1883","25341903906.6146","28407316918.275","29891223528.2769","31453086105.0439","33617109885.9409","36346247979.8805","39347974218.915","41593001975.7425","43833884426.186","40095309815.3566","48612946594.5913","56394660247.7301","60271207059.3686","63855066959.174","",
"Honduras","HND","Gasto de consumo final de los hogares (% del crecimiento anual)","NE.CON.PRVT.KD.ZG","","0.0112650670271961","18.4017067967084","34.1284403669723","5.05050505050517","-8.51820874042495","0.147243959026369","2.30543257747354","-0.210851493155715","4.41690494569397","2.21804395963336","3.87418660788772","4.42016845674024","1.99271802577572","13.6014390570199","0.411663197594962","13.072000655896","7.52692804825507","9.05652696641697","17.8828939451824","11.3812001715553","15.5629830791727","4.98781949560096","10.4029240510237","-0.583556224279278","6.89612252370422","-1.19299720177028","3.99831045292336","4.68414657059886","8.95817282466653","15.2606047019052","24.113298659713","12.2765773118708","13.8019640050716","22.1003213165111","28.9090798051048","26.2505329630103","26.6015809376786","10.4092662590504","11.7879015451536","11.716171649321","4.54036446426986","4.18331541691175","4.40251725379876","4.97896343950677","6.13921050323563","8.69002667224517","6.07132305743934","2.9922338553102","0.0704721014163994","3.64858833751028","3.60041071842603","4.27481591878292","3.76772422381342","2.55539569653456","3.90162243783804","3.9994852309635","5.20213549261746","5.53412109053879","4.76527102301907","-7.63884317339704","16.8319459125444","5.73688295771771","4.60545735440556","4.34448374321259","",
"Honduras","HND","Gasto de consumo final de los hogares (US$ a precios actuales)","NE.CON.PRVT.CD","269000000","289500000","294300000","425700000","447200000","464150000","499100000","522800000","587100000","597150000","655850000","676200000","707846814.689334","790199604.900198","914000000","1007900000","1160500000","1247850000","1567300000","1802750000","2154150000","2489400000","2578950000","2823350000","2987350000","3162900000","3365950000","3552700000","3290815450.64378","2979344827.58621","2435189688.71595","2481652152.65108","2718819913.05771","2730774543.05489","2634323565.78822","2959760166.84046","3070422297.2973","3566547528.51711","4011802067.94682","4433965156.79443","5084603916.61402","5546434750.0214","5760282649.12127","6078844467.98765","6557913422.63543","7350185123.01869","8480372378.01246","9615201824.81172","11093947563.2305","11457769474.6257","12373340178.1414","13749772560.7811","14566514120.1656","15156635040.5986","15871143677.4812","16260945743.1987","16700061283.0697","17885775007.2338","19400342086.4765","20447045007.4564","18897353705.3572","23848629211.6866","27409105347.8426","29868549044.7042","31897584776.8496","",
"Honduras","HND","Gasto de consumo final del gobierno general (UMN a precios constantes)","NE.CON.GOVT.KN","310743801.652893","316349809.885932","327916666.666667","461739130.434783","402473498.233216","505200000","517509727.626459","532319391.634981","555147058.823529","568403908.794788","562784090.909091","666019417.475728","708709677.419355","725418060.200669","797752808.988764","846683673.469388","875802997.858672","820274914.089347","915371621.621622","1035980551.05348","1224344023.32362","1366473149.49202","1504347826.08696","1631083202.51177","1698015267.17557","1746989720.99853","1841611624.83487","1888902743.14214","1940271493.21267","2109294512.87794","2676584734.79948","3222079772.07977","3535504469.98723","4367791842.47539","5300729927.0073","6832718894.00922","8693948562.78366","10593044822.2566","11746461949.2657","12819540229.8851","14300700000","15215200000","15692200000","16278100000","17151600000","18890000000","19617700000","22124300000","23084300000","24688500000","24437700000","24203300000","24770900000","25554900000","24899900000","25420800000","26539300000","26917100000","27185600000","28076900000","28710700000","32336200000","30999000000","33863300000","35655900000","",
"Honduras","HND","Gasto de consumo final del gobierno general (US$ a precios actuales)","NE.CON.GOVT.CD","37600000","41600000","39350000","53100000","56950000","63150000","66500000","70000000","75500000","87250000","99050000","102900000","109849505.677224","108449945.775027","142000000","165950000","204500000","238700000","270950000","319600000","419950000","470750000","484400000","519500000","556100000","594850000","697050000","757450000","736137339.055794","649517241.37931","503161478.599222","425433069.385145","503519525.637061","476588757.078621","431809532.870326","463826903.023983","485363175.675676","521193916.34981","649785819.793205","777212543.554007","963618445.988629","1123757618.24534","1176816435.15524","1228042635.02902","1331349045.63358","1514543438.09177","1638034362.99828","2052262226.71486","2375834476.9331","2727823615.64638","2839429270.02239","2845043928.94022","3001956184.54281","3095710138.15174","3029133339.5403","3001210972.34358","3065208882.25269","3123027107.15387","3240061134.44457","3453412706.48569","3657218094.90494","4411351206.06929","4486411226.32584","5129091560.41463","5759662719.26744","",
"Honduras","HND","Gasto militar (UMN a precios actuales)","MS.MIL.XPND.CN","7840000","7660000","7660000","7640000","11700000","12500000","13000000","13600000","14100000","14400000","19800000","22800000","30900000","31900000","33800000","42800000","47400000","63600000","86200000","99100000","114000000","121000000","134000000","140000000","162000000","188000000","211000000","245000000","264000000","276000000","276000000","252000000","","262700000","","","","","","","778500000","974100000","1045200000","1425700000","1102600000","1178700000","1428400000","1812500000","2503400000","2962800000","3215700000","3790200000","4089722000","5194494000","4945400000","6223440000","7595320000","8639200000","8570000000","9624150000","8420050000","10127020000","11277609000","12896790000","14447100000","",
"Honduras","HND","Transferencias de armamento, importaciones (valores del indicador de tendencia del Instituto Internacional de Investigación para la Paz de Estocolmo) (SIPRI)","MS.MIL.MPRT.KD","","","14000000","","","1000000","6000000","","","20000000","","","","2000000","","31000000","30000000","34000000","33000000","9000000","13000000","31000000","34000000","37000000","25000000","35000000","75000000","13000000","44000000","17000000","","","","","","","","","","","","","","","","","","","0","","","0","0","20000000","13000000","8000000","","10000000","1000000","23000000","0","4000000","","","7000000","",
"Honduras","HND","Índice de desempeño logístico: competitividad y calidad de los servicios logísticos (1= baja a 5= alta)","LP.LPI.LOGS.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.41","","","2.57","","2.44","","2.469754","","2.441143","","2.72","","","","2.7","","","",
"Honduras","HND","Plazo de entrega para las importaciones, caso de la mediana (días)","LP.IMP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","","","","2","","2","","7","","","","","","","","","",
"Honduras","HND","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.80535","","","","","","","27.6116","30.2475","32.9724","37.7922","40.6984","","","","","","",
"Honduras","HND","Suscripciones a banda ancha fija","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","57290","61277","68991","157852","197379","220386","238291","354861","390377","396916","421457","461436","464342","495725","",
"Honduras","HND","Suscripciones a telefonía celular móvil","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2311","14427","34896","78588","155271","237629","326508","379362","707201","1281462","2240756","4184834","6210711","8390755","9505071","8062229","7370034","7767235","7725092","8048388","7832802","8233499","7588554","7559829","6960654","7560710","7937385","7921347","7679726","",
"Honduras","HND","Ferrocarriles, pasajeros transportados (millones de pasajeros-kilómetros)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Transporte áreo, partidas de vuelos en todo el mundo de compañías registradas en el país","IS.AIR.DPRT","","","","","","","","","","","21300","20600","17800","18000","17800","15900","14600","13900","15500","17200","19500","13200","13600","12100","11300","11800","8100","11300","14700","15100","17100","12500","11800","13700","","","","","","","","","","","","","","","","","21574","18287","16760","26796","24216","24813","24315","9482","14832","13146","","14225","14652","16565","","",
